Name,Region,Tier,Type,Base Item,Location,Armor,Agility,Shielding,Poise,Inure,Steadfast,Ethereal,Reflexes ,Evasion,Tempo ,Adaptability,Melee Prot.,Projectile Prot.,Magic Prot.,Blast Prot.,Fire Prot.,Feather Falling,Max Health,Max Health %,Regen,Life Drain,Sustenance,Anemia,Speed,Speed %,Adrenaline,Crippling,Attack Damage,Attack Damage %,Attack Speed,Attack Speed %,Magic Damage,Magic Damage %,Proj Damage,Proj Speed,Knockback Res.,Thorns,Base Spell Power,Base Attack Damage,Base Attack Speed,Base Proj Damage,Base Proj Speed,Base Throw Rate,Unbreaking,Mending,Unbreakable,Irreparability,Smite,Slayer,Duelist,Fire Aspect,Ice Aspect,Thunder Aspect,Knockback,Sweeping Edge,Decay,Hex Eater,Bleeding,Chaotic,Quake,Looting,Sniper,Point Blank,Flame,Frost,Spark,Punch,Infinity (bow),Quick Charge,Piercing,Multishot,Recoil,Efficiency,Sapper,Eruption,Multitool,Fortune,Silk Touch,Lure,Infinity (tool),Shrapnel,Abyssal,Gills,Respiration,Aqua Affinity,Depth Strider,Riptide,Inferno,Second Wind,Regicide,Aptitude,Retrieval,Intuition,Radiant,Darksight,Weightless,Triage,Soul Speed,Void Tether,Resurrection,Ineptitude,Vanishing,Two Handed,Corruption,Arcane Thrust,Rage of the Keter,Protection of the Depths,Persistent,Ashes of Eternity,Tier,Location,Health,Speed,Attack Damage,Attack Speed,Magic Damage,Tier,Location
Evening Star,Isles,Artifact,Offhand Sword,Diamond Sword,Hekawt,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,45%,,-15%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,55%,-15%,,12,42
Rapture,Isles,Artifact,Chestplate,Iron Chestplate,Hekawt,5.5,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,20%,,,,10%,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,20%,,10%,12,42
Transcendence,Isles,Artifact,Helmet,Player Head,Hekawt,,5.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.5,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,,19%,12,42
Vehemence,Isles,Artifact,Leggings,Leather Leggings,Hekawt,,7,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,,,12,42
Frost Giant's Crescent,Isles,Epic,Scythe,Iron Hoe,Eldrask,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.7,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,,,13,41
Frost Giant's Crusher,Isles,Epic,Axe,Iron Axe,Eldrask,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.6,,,,,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,,,13,41
Frost Giant's Greatsword,Isles,Epic,Sword,Iron Sword,Eldrask,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.7,,,,,,1,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,,,13,41
Frost Giant's Staff,Isles,Epic,Wand,Bone,Eldrask,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,19,0.8,,,,,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,,,13,41
Alric's Eyegouger,Isles,Artifact,Offhand Sword,Stone Sword,Eldrask,4.5,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,1,5%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,12,41,10,,,,13%,12,41
Boreas Mattock,Isles,Artifact,Pickaxe,Iron Pickaxe,Eldrask,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,1.2,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,,,12,41
Crest of the Tundra,Isles,Artifact,Helmet,Leather Helmet,Eldrask,,11,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,,,12,41
Heart of the Hero,Isles,Artifact,Chestplate,Iron Chestplate,Eldrask,9.5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0.1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,10,,,8%,,12,41
Hiemal Robes,Isles,Artifact,Leggings,Leather Leggings,Eldrask,,8,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,12,41,10,,,,,12,41
Icicle Greaves,Isles,Artifact,Leggings,Iron Leggings,Eldrask,5.5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,20%,,,,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,20%,,,12,41
Old Ice Brogues,Isles,Artifact,Boots,Iron Boots,Eldrask,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,,,12,41
Poet's Tome,Isles,Artifact,Offhand,Book,Eldrask,0.5,,2,,,,,,,,,,,,,,,,15%,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,18.75,15%,,,,12,41
Orb of Winter,Isles,Uncommon,Throwable,Snowball,Eldrask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,0.5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,41,,,,,,7,41
Annilys,Isles,Epic,Mainhand,Music Disc,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,40,,,,,,13,40
Soulsinger,Isles,Epic,Misc,Jukebox,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,40,,,,,,13,40
Angler's Lure,Isles,Artifact,Offhand,Soul Lantern,Depths,,4.5,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Cephalopodic Chains,Isles,Artifact,Leggings,Chainmail Leggings,Depths,5,,,,,,1,,,,1,,,,,,,,,1,,,,,10%,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,10%,,,,12,40
Dionaeas Graft,Isles,Artifact,Pickaxe,Iron Pickaxe,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,4,1.2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Drifting Scales,Isles,Artifact,Boots,Chainmail Boots,Depths,,4,,,,,,,,2,,,,,,,1,,,,,,,,-10%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,40,,-10%,,,,12,40
Dryadic Temptation,Isles,Artifact,Offhand Sword,Wooden Sword,Depths,4,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,30%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,40,,,30%,,,12,40
Earth's Maw,Isles,Artifact,Helmet,Player Head,Depths,,6,,1,,,,,,,1,,1,,,,,,,,,1,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,10%,,,,12,40
Energized Maelstrom,Isles,Artifact,Sword,Iron Sword,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10%,,,,,,11.5,1.6,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,18%,12,40
Firecoral Lance,Isles,Artifact,Trident,Trident,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1.2,12,0.8,1.1,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
K'x'aehdd,Isles,Artifact,Crossbow,Crossbow,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1.2,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Lieutenant's Storm,Isles,Artifact,Boots,Iron Boots,Depths,,4.5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Mu'xro'hkr,Isles,Artifact,Offhand Shield,Shield,Depths,1.5,1.5,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Phlogiston Fissure,Isles,Artifact,Scythe,Iron Hoe,Depths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1.2,,,,3,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Pyrrhic Greaves,Isles,Artifact,Leggings,Golden Leggings,Depths,6.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,12,40,,,15%,,,12,40
Rootweave Diadem,Isles,Artifact,Helmet,Chainmail Helmet,Depths,8.5,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Seeker's Pursuit,Isles,Artifact,Leggings,Leather Leggings,Depths,,6,,,,,,,,,,,,,,2,,,,,,,,,15%,,,,,,,0.5,10%,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,15%,,,14%,12,40
Shroud of Sea and Sky,Isles,Artifact,Chestplate,Leather Chestplate,Depths,6,,,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,,,12,40
Veil's Horizon,Isles,Artifact,Chestplate,Chainmail Chestplate,Depths,,6,,,,,,,1,,,,,,,,,2,,,,,,,,,1,,,,,,10%,10%,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,10,,,,10%,12,40
Wildthorn Crescent,Isles,Artifact,Bow,Bow,Depths,,,,,,,,,,,,,,,,,,,,,,,,,10%,,,,,,,1,10%,,,,,,,,20,1.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,10%,,,18%,12,40
Silverthread Raiment,Isles,Epic,Chestplate,Iron Chestplate,Remorse,,7,,,,,,,,,,,,2,,,,-2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,13,39,-10,,,,,13,39
Blackflame Gauntlet,Isles,Artifact,Wand,Nether Brick,Remorse,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60%,6.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,,,12,39
Blackflame Remains,Isles,Artifact,Helmet,Player Head,Remorse,,5.5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,,,12,39
Cartilage Cuirasss,Isles,Artifact,Chestplate,Leather Chestplate,Remorse,,3.5,,,,,,,,,,1,,,2,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,30,,,,,12,39
Chime of the Requiem,Isles,Artifact,Offhand,Bell,Remorse,2.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,12,39,,,15%,,,12,39
Dragonbreath Repeater,Isles,Artifact,Crossbow,Crossbow,Remorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,5,,,,,,,,,,,,,,,,,,,2,1,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,,,12,39
Dragonscale Greaves,Isles,Artifact,Leggings,Chainmail Leggings,Remorse,6,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,,,12,39
Failure of the Void,Isles,Artifact,Chestplate,Leather Chestplate,Remorse,,8.5,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5%,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,39,,,,,5%,12,39
Iridium Breastplate,Isles,Artifact,Chestplate,Iron Chestplate,Remorse,3.5,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,20%,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,27%,,,12,39
Iridium Greaves,Isles,Artifact,Leggings,Iron Leggings,Remorse,5,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,39,10,,,,,12,39
Liminal Sabatons,Isles,Artifact,Boots,Iron Boots,Remorse,5.5,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,,13%,12,39
Mask of the Interim,Isles,Artifact,Helmet,Iron Helmet,Remorse,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,20%,,,,,10%,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,20%,,,12,39
Muranic Urn,Isles,Artifact,Offhand,Dragon Breath,Remorse,,7,,,,,,,,,,,,,,,,,,,,,,,7%,,,,,,,0.5,10%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,7%,,,14%,12,39
Osseous Mask,Isles,Artifact,Helmet,Leather Helmet,Remorse,5.5,,,,,,,,,,,,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,10,,,,,12,39
Rites of Eternity,Isles,Artifact,Offhand,Flower Banner Pattern,Remorse,,,,,,,,,,,,,,,,,,4,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,12,39,20,,,,,12,39
Talon of the Great Beast,Isles,Artifact,Boots,Diamond Boots,Remorse,8.5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,,,12,39
Mist's Wake,Isles,Epic,Boots,Leather Boots,Mist,,6,,,,,,1,,,,,,,,,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,13,38,,10%,,,,13,38
Aberration's Amulet,Isles,Artifact,Offhand,Nether Star,Mist,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,,,,23%,12,38
Auric Tiara,Isles,Artifact,Helmet,Golden Helmet,Mist,-100,-100,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,125,,,,,12,38
Downfall,Isles,Artifact,Pickaxe,Golden Pickaxe,Mist,,,,,,,,,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,6,1.2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,12,38,,15%,,,,12,38
Elder's Cloak,Isles,Artifact,Chestplate,Chainmail Chestplate,Mist,6,,,,,,,,,,,,2,,,,,,,,,,,,10%,,,,,,,0.5,10%,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,10%,,,14%,12,38
Gilded Quiver,Isles,Artifact,Offhand,Blaze Rod,Mist,,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,20%,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,10,,,,,12,38
Goddess' Sandals,Isles,Artifact,Boots,Golden Boots,Mist,6,,,,,,,,,,,,,,,,,,,,,2,,,10%,,,,,,,0.5,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,,10%,,,4%,12,38
